prefix,occurrence,percentage
8,15,0.000563911
9,60,0.002255642
10,150,0.005639106
11,450,0.016917319
12,1318,0.049548947
13,2532,0.095188113
14,5378,0.202180755
15,8970,0.337218552
16,66231,2.489890962
17,36710,1.380077263
18,61088,2.296544807
19,129683,4.875308083
20,186103,6.996363904
21,195989,7.368018599
22,290025,10.90321188
23,251151,9.441781115
24,1414847,53.18981683
25,1198,0.045037662
26,1092,0.041052693
27,1728,0.064962504
28,1319,0.049586541
29,1930,0.0725565
30,1612,0.060601595
31,139,0.005225572
32,278,0.010451144
