"prefix","occurrence","percentage"
0,1,0.0023737745388943
1,1,0.0023737745388943
11,2,0.00474754907778859
12,148,0.351318631756356
16,2,0.00474754907778859
19,4,0.00949509815557718
20,14,0.0332328435445201
21,6,0.0142426472333658
22,8,0.0189901963111544
23,8,0.0189901963111544
24,28,0.0664656870890403
25,10,0.023737745388943
26,28,0.0664656870890403
27,40,0.0949509815557718
28,120,0.284852944667315
29,1105,2.6230208654782
30,173,0.410662995228713
31,121,0.28722671920621
32,13052,30.9825052816483
33,542,1.28658580008071
34,317,0.752486528829492
35,435,1.03259192441902
36,1656,3.93097063640895
37,100,0.23737745388943
38,335,0.795214470529589
39,124,0.294348042822893
40,2327,5.52377335200703
41,233,0.553089467562371
42,315,0.747738979751703
43,68,0.161416668644812
44,1700,4.0354167161203
45,188,0.446269613312128
46,709,1.68300614807606
47,322,0.764355401523963
48,17762,42.1629833598405
49,12,0.0284852944667316
50,2,0.00474754907778859
52,10,0.023737745388943
56,21,0.0498492653167802
62,1,0.0023737745388943
64,77,0.182780639494861
