"prefix","occurrence","percentage"
0,1,0.00232531101034763
1,1,0.00232531101034763
11,4,0.00930124404139054
12,121,0.281362632252064
16,2,0.00465062202069527
19,4,0.00930124404139054
20,14,0.0325543541448669
21,6,0.0139518660620858
22,8,0.0186024880827811
23,8,0.0186024880827811
24,28,0.0651087082897338
25,10,0.0232531101034763
26,28,0.0651087082897338
27,40,0.0930124404139054
28,124,0.288338565283107
29,1107,2.57411928845483
30,175,0.406929426810836
31,123,0.286013254272759
32,13467,31.3149633763516
33,617,1.43471689338449
34,354,0.823160097663062
35,440,1.02313684455296
36,1693,3.93675154051854
37,105,0.244157656086502
38,335,0.778979188466457
39,124,0.288338565283107
40,2444,5.68306010928962
41,244,0.567375886524823
42,338,0.7859551214975
43,68,0.158121148703639
44,1707,3.96930589466341
45,191,0.444134402976398
46,712,1.65562143936752
47,330,0.767352633414719
48,17974,41.7951400999884
49,15,0.0348796651552145
52,1,0.00232531101034763
62,1,0.00232531101034763
64,41,0.095337751424253
