"prefix","occurrence","percentage"
8,6,0.000575880953889212
9,24,0.00230352381555685
10,60,0.00575880953889212
11,180,0.0172764286166764
12,524,0.0502936033063245
13,1004,0.0963640796174615
14,2026,0.194455802096591
15,3448,0.330939588168334
16,26050,2.500283141469
17,14216,1.36445394008151
18,23606,2.26570763291812
19,49463,4.74746660370368
20,71967,6.90740410142415
21,76680,7.35975859070413
22,113660,10.9091048698413
23,98761,9.47909648117541
24,560035,53.7522483352241
25,36,0.00345528572333527
26,10,0.000959801589815353
27,8,0.000767841271852283
28,30,0.00287940476944606
29,22,0.00211156349759378
30,32,0.00307136508740913
31,4,0.000383920635926141
32,30,0.00287940476944606
