"prefix","occurrence","percentage"
8,2,0.000917077823224079
9,2,0.000917077823224079
10,17,0.00779516149740467
11,48,0.0220098677573779
12,142,0.0651125254489096
13,291,0.133434823279103
14,513,0.235230461656976
15,906,0.415436253920508
16,6986,3.20335283652171
17,3675,1.68513050017424
18,5163,2.36743640065296
19,11165,5.11958694814842
20,15351,7.03903083215642
21,15551,7.13073861447883
22,23017,10.5541901285743
23,19604,8.98919682324242
24,115396,52.9135562443829
25,67,0.0307221070780066
26,76,0.034848957282515
27,46,0.0210927899341538
28,9,0.00412685020450835
29,4,0.00183415564644816
30,9,0.00412685020450835
32,44,0.0201757121109297
