"prefix","occurrence","percentage"
8,3,0.000559269519438344
9,12,0.00223707807775338
10,30,0.00559269519438344
11,92,0.0171509319294426
12,263,0.0490292945374282
13,501,0.0933980097462035
14,1046,0.194998639110836
15,1768,0.329596170122331
16,13113,2.444567069465
17,7263,1.35399150656023
18,12085,2.2529240474708
19,25490,4.75192668349447
20,37353,6.96346478652682
21,39668,7.39503443236008
22,58770,10.9560898857972
23,50295,9.37615349338384
24,285060,53.1417897370315
25,366,0.068230881371478
26,380,0.0708408057955236
27,631,0.117633022255198
28,439,0.0818397730111444
29,722,0.134597531011495
30,681,0.126954180912504
31,52,0.00969400500359797
32,331,0.061706070311364
