"prefix","occurrence","percentage"
8,3,0.000542579858712205
9,12,0.00217031943484882
10,30,0.00542579858712205
11,90,0.0162773957613661
12,262,0.0473853076608659
13,507,0.0916959961223626
14,1086,0.196413908853818
15,1763,0.318856096969872
16,13130,2.37469118163042
17,7378,1.33438473252622
18,12286,2.22204538137938
19,26272,4.75155268269568
20,39614,7.16458617434176
21,41876,7.57369138781076
22,61946,11.2035506425954
23,52589,9.51124406327205
24,292448,52.892131506889
25,333,0.0602263643170547
26,306,0.0553431455886449
27,514,0.0929620157926911
28,317,0.0573326050705896
29,46,0.00831955783358714
30,76,0.0137453564207092
31,2,0.000361719905808137
32,28,0.00506407868131391
