"prefix","occurrence","percentage"
8,3,0.000579871500475495
9,12,0.00231948600190198
10,30,0.00579871500475495
11,92,0.0177827260145818
12,263,0.050835401541685
13,503,0.0972251215797246
14,1032,0.19947579616357
15,1753,0.338838246777847
16,13171,2.54582917758758
17,7211,1.39381779664293
18,12183,2.35485816343098
19,25391,4.90783908952443
20,35946,6.94802031869738
21,37534,7.25496563294907
22,55824,10.790248880848
23,48168,9.31041681163454
24,277116,53.5638902419224
25,356,0.0688114180564254
26,378,0.0730638090599123
27,58,0.0112108490091929
28,47,0.00908465350744942
29,101,0.0195223405160083
30,140,0.0270606700221898
31,3,0.000579871500475495
32,41,0.00792491050649843
