"prefix","occurrence","percentage"
8,14,0.000890166772744874
9,48,0.00305200036369671
10,120,0.00763000090924178
11,364,0.0231443360913667
12,1044,0.0663810079104034
13,1996,0.126912348457055
14,4016,0.255350697095958
15,6938,0.441141219235995
16,39787,2.52979038480002
17,21947,1.39546358295941
18,36634,2.32931211090969
19,77672,4.93864525518856
20,109169,6.94132974384179
21,114489,7.27959311748485
22,169651,10.7869773687815
23,146789,9.33333502888909
24,839765,53.3950642795785
25,532,0.0338263373643052
26,428,0.027213669909629
27,688,0.0437453385463195
28,407,0.0258784197505117
29,84,0.00534100063646924
30,104,0.0066126674546762
32,53,0.00336991706824845
