"prefix","occurrence","percentage"
8,5,0.000685113578128982
9,13,0.00178129530313535
10,40,0.00548090862503186
11,127,0.0174018848844761
12,376,0.0515205410752995
13,727,0.099615514259954
14,1419,0.194435233473005
15,2436,0.33378733526444
16,18666,2.55766600987112
17,10096,1.38338133695804
18,16325,2.23689583259113
19,34844,4.77441950326525
20,51256,7.02323631211582
21,54203,7.42704225506504
22,78342,10.7346335875561
23,69307,9.49663335187707
24,391144,53.5956130807365
25,66,0.00904349923130257
26,85,0.0116469308281927
27,133,0.0182240211782309
28,108,0.014798453287586
29,76,0.0104137263875605
30,9,0.00123320444063217
32,3,0.000411068146877389
