"prefix","occurrence","percentage"
8,7,0.000624629126456167
9,24,0.00214158557642114
10,60,0.00535396394105286
11,184,0.0164188227525621
12,531,0.0473825808783178
13,999,0.0891434996185301
14,2156,0.192385770948499
15,3493,0.311689934101627
16,26484,2.36323968358073
17,14600,1.30279789232286
18,24635,2.19824836146395
19,54311,4.8463189267087
20,79272,7.07365715891904
21,84507,7.5407905127759
22,124499,11.1093859449523
23,105875,9.44751553764952
24,597938,53.355641516421
25,140,0.0124925825291233
26,126,0.011243324276211
27,148,0.0132064443879304
28,142,0.0126710479938251
29,149,0.0132956771202813
30,320,0.0285544743522819
32,65,0.00580012760280726
