"prefix","occurrence","percentage"
8,23,0.00118389856768863
9,64,0.00329432644922053
10,143,0.00736076065997713
11,450,0.0231632328460819
12,1332,0.0685631692244023
13,2466,0.126934515996529
14,4843,0.24928785927461
15,7872,0.405202153254125
16,54880,2.82488493020661
17,30498,1.56984950075512
18,51042,2.62732829095491
19,102810,5.29202659756817
20,143565,7.38984338566165
21,147249,7.57947305189491
22,211652,10.8945434629754
23,182887,9.41389814560305
24,995722,51.2536456354807
25,886,0.0456058317813967
26,720,0.037061172553731
27,1136,0.0584742944736644
28,876,0.045091093273706
29,764,0.0393260219875701
30,604,0.0310902058645188
31,52,0.00267664023999168
32,198,0.010191822452276
