"prefix","occurrence","percentage"
13,12,0.0167399037455535
14,63,0.0878844946641557
15,38,0.0530096951942526
16,301,0.419892585617633
17,296,0.412917625723652
18,545,0.760270628443886
19,1920,2.67838459928855
20,7015,9.7858687312548
21,7750,10.8111878356699
22,10302,14.3712073655576
23,8570,11.9550812582828
24,34694,48.3978517123527
25,53,0.0739345748761945
26,13,0.0181348957243496
27,12,0.0167399037455535
28,37,0.0516147032154565
29,12,0.0167399037455535
30,13,0.0181348957243496
32,39,0.0544046871730488
