"prefix","occurrence","percentage"
0,2,0.00321874597656753
1,1,0.00160937298828376
11,2,0.00321874597656753
12,141,0.226921591348011
16,3,0.00482811896485129
19,6,0.00965623792970259
20,21,0.0337968327539591
21,9,0.0144843568945539
22,12,0.0193124758594052
23,12,0.0193124758594052
24,42,0.0675936655079181
25,15,0.0241405948242565
26,42,0.0675936655079181
27,60,0.0965623792970259
28,181,0.291296510879361
29,1656,2.66512166859791
30,258,0.415218230977211
31,178,0.28646839191451
32,19054,30.6649929187588
33,726,1.16840478949401
34,427,0.687202265997167
35,595,0.95757692802884
36,2350,3.78202652246685
37,150,0.241405948242565
38,501,0.806295867130166
39,186,0.29934337582078
40,3468,5.5813055233681
41,342,0.550405561993047
42,507,0.815952105059869
43,102,0.164156044804944
44,2545,4.09585425518218
45,285,0.458671301660873
46,1065,1.71398223252221
47,470,0.756405304493369
48,26470,42.6001029998712
49,12,0.0193124758594052
50,2,0.00321874597656753
51,2,0.00321874597656753
52,6,0.00965623792970259
56,15,0.0241405948242565
60,1,0.00160937298828376
62,1,0.00160937298828376
64,213,0.342796446504442
