"prefix","occurrence","percentage"
0,1,0.00238333571666905
11,3,0.00715000715000715
12,113,0.269316935983603
16,2,0.0047666714333381
19,4,0.0095333428666762
20,14,0.0333667000333667
21,6,0.0143000143000143
22,8,0.0190666857333524
23,8,0.0190666857333524
24,28,0.0667334000667334
25,10,0.0238333571666905
26,28,0.0667334000667334
27,40,0.095333428666762
28,121,0.288383621716955
29,1107,2.63835263835264
30,175,0.417083750417084
31,119,0.283616950283617
32,13048,31.0977644310978
33,571,1.36088469421803
34,338,0.805567472234139
35,470,1.12016778683445
36,1631,3.88722055388722
37,100,0.238333571666905
38,335,0.798417465084132
39,124,0.295533628866962
40,2327,5.54602221268888
41,243,0.579150579150579
42,292,0.695934029267363
43,68,0.162066828733495
44,1704,4.06120406120406
45,186,0.443300443300443
46,708,1.68740168740169
47,314,0.748367415034082
48,17687,42.1540588207255
49,10,0.0238333571666905
64,15,0.0357500357500357
