"prefix","occurrence","percentage"
16,1,0.00482905157427081
19,2,0.00965810314854163
20,7,0.0338033610198957
21,3,0.0144871547228124
22,4,0.0193162062970833
23,4,0.0193162062970833
24,14,0.0676067220397914
25,5,0.0241452578713541
26,14,0.0676067220397914
27,20,0.0965810314854163
28,61,0.29457214603052
29,552,2.66563646899749
30,86,0.41529843538729
31,60,0.289743094456249
32,6365,30.7369132702337
33,258,1.24589530616187
34,150,0.724357736140622
35,191,0.922348850685725
36,783,3.78114738265405
37,51,0.246281630287811
38,168,0.811280664477497
39,62,0.29940119760479
40,1185,5.72242611551091
41,114,0.550511879466873
42,162,0.782306355031872
43,34,0.164187753525208
44,847,4.09020668340738
45,93,0.449101796407186
46,355,1.71431330886614
47,160,0.77264825188333
48,8832,42.6501835039598
49,6,0.0289743094456249
52,1,0.00482905157427081
62,1,0.00482905157427081
64,57,0.275255939733436
